date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:07:36	233/233	---M--	200	added ('OK')	image/gif	etag:%223950a1c-e9-5a0b0793%22	http://www.bi-plane.co.kr/img/sub/btn_close.gif	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub/btn_close.gif	(from http://www.bi-plane.co.kr/)
06:07:37	16395/16395	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20May%202019%2006:03:30%20GMT	http://wcs.naver.net/wcslog.js	C:/Data/javascript/ex/copy/test3/wcs.naver.net/wcslog.js	(from http://www.bi-plane.co.kr/)
06:07:38	27456/27456	---M--	200	added ('OK')	image/jpeg	etag:%22388011e-6b40-59dede5c%22	http://www.bi-plane.co.kr/upfile/board/S_sjy%ec%8d%b8%eb%84%a4%ec%9d%bc.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/upfile/board/S_sjy%ec%8d%b8%eb%84%a4%ec%9d%bc.jpg	(from http://www.bi-plane.co.kr/)
06:07:39	9202/9202	---M-Z	200	added ('OK')	application/javascript	etag:W/%225dba4188-23f2%22	http://cdn-aitg.widerplanet.com/js/wp_astg_4.0.js	C:/Data/javascript/ex/copy/test3/cdn-aitg.widerplanet.com/js/wp_astg_4.0.js	(from http://www.bi-plane.co.kr/)
06:07:45	52692/52692	---M--	200	added ('OK')	text/javascript	etag:%22f06d70-cdd4-589ffc6c81de1%22	https://cdn.megadata.co.kr/js/enliple_min2.js	C:/Data/javascript/ex/copy/test3/cdn.megadata.co.kr/js/enliple_min2.js	(from http://www.bi-plane.co.kr/)
06:07:46	1082/1082	---M--	200	added ('OK')	text/css	etag:%2238b8ac8-43a-5a0b078e%22	http://www.bi-plane.co.kr/css/reset.css	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/css/reset.css	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:47	115641/115641	---MCZ	200	added ('OK')	text/css	etag:W/%2238b8ac6-1c3b9-5add71f9%22	http://www.bi-plane.co.kr/css/style.css	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/css/style.css	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:48	1527/1527	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202019%2021:07:48%20GMT	http://fonts.googleapis.com/earlyaccess/notosanskr.css	C:/Data/javascript/ex/copy/test3/fonts.googleapis.com/earlyaccess/notosanskr.css	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:48	736/736	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202019%2021:07:49%20GMT	http://fonts.googleapis.com/earlyaccess/nanumgothic.css	C:/Data/javascript/ex/copy/test3/fonts.googleapis.com/earlyaccess/nanumgothic.css	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:49	765/765	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202019%2021:07:49%20GMT	http://fonts.googleapis.com/earlyaccess/nanummyeongjo.css	C:/Data/javascript/ex/copy/test3/fonts.googleapis.com/earlyaccess/nanummyeongjo.css	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:50	2493/2493	---M--	200	added ('OK')	image/png	etag:%2238e4164-9bd-58f881f1%22	http://www.bi-plane.co.kr/img/comm/nblog_btn.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/nblog_btn.png	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:50	1666/1666	---M--	200	added ('OK')	image/png	etag:%2238e4175-682-58f881f1%22	http://www.bi-plane.co.kr/img/comm/fbook_btn.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/fbook_btn.png	(from http://www.bi-plane.co.kr/css/comm.css?ver=20181010)
06:07:51	930/930	---M--	200	added ('OK')	image/png	etag:%2238e4287-3a2-5a0b0792%22	http://www.bi-plane.co.kr/img/comm/blank.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/blank.png	(from http://www.bi-plane.co.kr/css/main.css?ver=20181010)
06:07:51	71935/71935	---M--	200	added ('OK')	image/jpeg	etag:%223880123-118ff-5cefb6a4%22	http://www.bi-plane.co.kr/upfile/board/%2525ED%25258C%25259D%2525EC%252597%252585_PC_%2525EB%2525B9%252584%2525ED%252583%252580%2525EB%2525AF%2525BC%2525ED%252595%25259C%2525EC%25259D%252598%2525EC%25259B%252590%2525EC%25259C%2525BC%2525EB%2525A1%25259C-%2525EB%2525B3%252580%2525EA%2525B2%2525BD%2525EC%252586%25258C%2525EC%25258B%25259D.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/upfile/board/%25ED%258C%259D%25EC%2597%2585_PC_%25EB%25B9%2584%25ED%2583%2580%25EB%25AF%25BC%25ED%2595%259C%25EC%259D%2598%25EC%259B%2590%25EC%259C%25BC%25EB%25A1%259C-%25EB%25B3%2580%	(from http://www.bi-plane.co.kr/)
06:07:51	51992/51992	---MCZ	200	added ('OK')	text/css	etag:W/%2238b8ac9-cb18-5b755bf2%22	http://www.bi-plane.co.kr/css/sub.css?ver=20181010	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/css/sub4442.css	(from http://www.bi-plane.co.kr/sub11_1.html)
06:07:52	1611/1611	---MCZ	200	added ('OK')	application/javascript	etag:W/%223950a54-64b-5a09a7ef%22	http://www.bi-plane.co.kr/js/sub_effect.js	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/js/sub_effect.js	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:01	55708/55708	---M--	200	added ('OK')	image/jpeg	etag:%2238e8492-d99c-5c401469%22	http://www.bi-plane.co.kr/img/sub2/profile_kbi.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/profile_kbi.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:02	66112/66112	---M--	200	added ('OK')	image/jpeg	etag:%2238e8493-10240-5c401469%22	http://www.bi-plane.co.kr/img/sub2/profile_ljw.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/profile_ljw.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:08	36164/36164	---M--	200	added ('OK')	image/jpeg	etag:%2238e8521-8d44-5a0b0794%22	http://www.bi-plane.co.kr/img/sub2/benefits1.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/benefits1.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:24	93772/93772	---M--	200	added ('OK')	image/jpeg	etag:%2238e8484-16e4c-5a0b0794%22	http://www.bi-plane.co.kr/img/sub2/benefits2.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/benefits2.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:25	480039/480039	---M--	200	added ('OK')	image/jpeg	etag:%2238fca07-75327-5a0b079f%22	http://www.bi-plane.co.kr/img/main/visual2.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/visual2.jpg	(from http://www.bi-plane.co.kr/)
06:08:26	31282/31282	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:08:24%20GMT	http://www.bi-plane.co.kr/sub2_2.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub2_2.html	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:39	85867/85867	---M--	200	added ('OK')	image/jpeg	etag:%2238e8520-14f6b-5a0b0794%22	http://www.bi-plane.co.kr/img/sub2/benefits3.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/benefits3.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:44	109238/109238	---M--	200	added ('OK')	image/jpeg	etag:%2238e8522-1aab6-5a0b0794%22	http://www.bi-plane.co.kr/img/sub2/benefits4.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/benefits4.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:44	259/259	---M--	200	added ('OK')	image/gif	etag:%2238e8b4e-103-5a0b0795%22	http://www.bi-plane.co.kr/img/sub2/btn_close.gif	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/btn_close.gif	(from http://www.bi-plane.co.kr/sub11_1.html)
06:08:53	53043/53043	---M--	200	added ('OK')	image/jpeg	etag:%2238e417a-cf33-5a0b0791%22	http://www.bi-plane.co.kr/img/sub1/con1_1.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub1/con1_1.jpg	(from http://www.bi-plane.co.kr/sub14_1.html)
06:08:54	5173/5173	---M--	200	added ('OK')	image/png	etag:%2238e4183-1435-5a0b0790%22	http://www.bi-plane.co.kr/img/sub1/hx_01.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub1/hx_01.png	(from http://www.bi-plane.co.kr/sub14_1.html)
06:08:55	5814/5814	---M--	200	added ('OK')	image/png	etag:%2238e4182-16b6-5a0b0790%22	http://www.bi-plane.co.kr/img/sub1/hx_02.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub1/hx_02.png	(from http://www.bi-plane.co.kr/sub14_1.html)
06:08:59	125617/125617	---M--	200	added ('OK')	image/jpeg	etag:%2238e8523-1eab1-5a0b0794%22	http://www.bi-plane.co.kr/img/sub2/benefits5.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/benefits5.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:09:02	383270/383270	---M--	200	added ('OK')	image/jpeg	etag:%2238e8490-5d926-5b7c897b%22	http://www.bi-plane.co.kr/img/sub2/our_system.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub2/our_system.jpg	(from http://www.bi-plane.co.kr/sub11_1.html)
06:09:02	2193/2193	---M--	200	added ('OK')	image/png	etag:%2238e4180-891-5a0b0790%22	http://www.bi-plane.co.kr/img/sub1/hx_03.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub1/hx_03.png	(from http://www.bi-plane.co.kr/sub14_1.html)
06:09:13	109830/109830	---M--	200	added ('OK')	image/jpeg	etag:%2238e4181-1ad06-5a0b0792%22	http://www.bi-plane.co.kr/img/sub1/con1_2.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/sub1/con1_2.jpg	(from http://www.bi-plane.co.kr/sub14_1.html)
